Journée,Encadrement Général,Encadrement GUINTOLI,Encadrement AGILIS,Encadrement EHTP,Encadrement NGE Fondations,Encadrement NGE GC,Encadrement Siorat,Encadrement CE PROJ,Encadrement INEO,Total personnel
lundi 2 janvier 2023,Encadrement Général,Encadrement GUINTOLI,Encadrement AGILIS,Encadrement EHTP,Encadrement NGE Fondations,Encadrement NGE GC,Encadrement Siorat,Encadrement CE PROJ,Encadrement INEO,Colonne2
